,Source,Target,Travel_time,Demand,Demand_per_minute,Routes
12,0,1,20.0,5370.0,268.5,0-25-7-14-1*
20,0,1,20.0,5840.0,292.0,0-25-7-24-1*
13,0,1,20.0,5880.0,294.0,0-25-11-14-1*
11,0,1,20.0,7090.0,354.5,0-28-7-14-1*
3,0,1,18.0,6390.0,355.0,0-25-11-3-1*
29,0,1,21.0,8100.0,385.7142857142857,0-25-7-14-23-1*
37,0,1,21.0,8190.0,390.0,0-25-7-4-1*
19,0,1,20.0,7870.0,393.5,0-28-7-24-1*
43,0,1,21.0,8720.0,415.23809523809524,0-25-7-14-3-1*
5,0,1,19.0,8100.0,426.3157894736842,0-17-11-14-1*
44,0,1,21.0,8990.0,428.0952380952381,0-25-11-14-3-1*
30,0,1,21.0,9160.0,436.1904761904762,0-25-11-14-23-1*
8,0,1,20.0,8800.0,440.0,0-22-25-11-3-1*
28,0,1,21.0,10030.0,477.6190476190476,0-28-7-14-23-1*
18,0,1,20.0,9660.0,483.0,0-28-25-11-3-1*
0,0,1,17.0,8240.0,484.70588235294116,0-17-11-3-1*
35,0,1,21.0,10290.0,490.0,0-28-7-4-1*
47,0,1,21.0,10350.0,492.85714285714283,0-25-7-20-14-1*
42,0,1,21.0,10390.0,494.76190476190476,0-28-7-14-3-1*
38,0,1,21.0,10440.0,497.14285714285717,0-25-7-24-3-1*
46,0,1,21.0,10660.0,507.6190476190476,0-28-7-20-14-1*
49,0,1,21.0,11300.0,538.0952380952381,0-25-7-20-24-1*
1145,0,1,21.0,11360.0,540.952380952381,0-25-7-20-23-1*
21,0,1,20.0,10870.0,543.5,0-17-11-14-3-1*
34,0,1,21.0,11800.0,561.9047619047619,0-12-17-11-3-1*
24,0,1,21.0,11880.0,565.7142857142857,0-25-11-3-9-1*
48,0,1,21.0,11920.0,567.6190476190476,0-28-7-20-24-1*
1147,0,1,21.0,12350.0,588.0952380952381,0-28-7-20-23-1*
36,0,1,21.0,12420.0,591.4285714285714,0-28-7-24-3-1*
6,0,1,19.0,11470.0,603.6842105263158,0-22-17-11-14-1*
15,0,1,20.0,12270.0,613.5,0-17-11-14-23-1*
1,0,1,17.0,10550.0,620.5882352941177,0-22-17-11-3-1*
10,0,1,20.0,12700.0,635.0,0-18-17-11-14-1*
17,0,1,20.0,12860.0,643.0,0-19-17-11-3-1*
39,0,1,21.0,13710.0,652.8571428571429,0-17-11-14-9-1*
