,Source,Target,Travel_time,Demand,Demand_per_minute,Routes
569,0,1,20.0,5370.0,268.5,0-25-7-14-1*
568,0,1,20.0,5840.0,292.0,0-25-7-24-1*
563,0,1,18.0,5880.0,326.6666666666667,0-25-11-14-1*
8,0,1,20.0,7090.0,354.5,0-28-7-14-1*
561,0,1,18.0,6390.0,355.0,0-25-11-3-1*
17,0,1,20.0,7870.0,393.5,0-28-7-24-1*
3,0,1,19.0,8100.0,426.3157894736842,0-17-11-14-1*
572,0,1,20.0,8720.0,436.0,0-25-7-14-3-1*
9,0,1,20.0,8800.0,440.0,0-22-25-11-3-1*
571,0,1,20.0,9110.0,455.5,0-28-25-11-14-1*
16,0,1,19.0,9110.0,479.4736842105263,0-28-25-11-14-1*
15,0,1,20.0,9660.0,483.0,0-28-25-11-3-1*
575,0,1,20.0,9660.0,483.0,0-28-25-7-24-1*
0,0,1,17.0,8240.0,484.70588235294116,0-17-11-3-1*
10,0,1,19.0,9350.0,492.10526315789474,0-22-25-11-14-1*
566,0,1,18.0,8990.0,499.44444444444446,0-25-11-14-3-1*
18,0,1,20.0,10030.0,501.5,0-28-7-14-23-1*
19,0,1,20.0,10130.0,506.5,0-22-25-7-14-1*
564,0,1,20.0,10870.0,543.5,0-17-11-14-3-1*
2,0,1,18.0,10550.0,586.1111111111111,0-22-17-11-3-1*
5,0,1,19.0,11470.0,603.6842105263158,0-22-17-11-14-1*
12,0,1,20.0,12270.0,613.5,0-17-11-14-23-1*
560,0,1,17.0,10550.0,620.5882352941177,0-22-17-11-3-1*
570,0,1,20.0,12630.0,631.5,0-19-17-11-14-1*
567,0,1,20.0,12860.0,643.0,0-19-17-11-3-1*
574,0,1,20.0,12880.0,644.0,0-28-25-11-14-3-1*
4,0,1,19.0,12700.0,668.421052631579,0-18-17-11-14-1*
562,0,1,17.0,11470.0,674.7058823529412,0-22-17-11-14-1*
6,0,1,20.0,13700.0,685.0,0-17-11-3-9-1*
1,0,1,18.0,13430.0,746.1111111111111,0-18-17-11-3-1*
573,0,1,20.0,15900.0,795.0,0-19-17-11-14-3-1*
14,0,1,20.0,15950.0,797.5,0-22-17-11-14-23-1*
565,0,1,17.0,14540.0,855.2941176470588,0-22-17-11-14-3-1*
11,0,1,20.0,17610.0,880.5,0-22-17-11-3-9-1*
13,0,1,20.0,17930.0,896.5,0-18-17-11-14-23-1*
7,0,1,20.0,20010.0,1000.5,0-18-17-11-3-9-1*
24,0,2,19.0,3300.0,173.68421052631578,0-13-6-2*
21,0,2,18.0,3300.0,183.33333333333334,0-25-7-2*
22,0,2,18.0,4300.0,238.88888888888889,0-28-7-2*
31,0,2,20.0,5330.0,266.5,0-13-6-10-2*
30,0,2,20.0,5520.0,276.0,0-18-13-6-2*
