,Exp,Layers,Learning rate,Training time [s],Accuracy,R2,MAE,MSE,Iterations
0,E0,"[126, 15, 30, 15, 1]",0.01,255.066224,0.9741,0.3979,0.3329,0.5005,1000
1,E1,"[126, 15, 30, 15, 1]",0.009,273.134662,0.9738,0.3829,0.3379,0.513,1000
2,E2,"[126, 15, 30, 15, 1]",0.0085,264.630958,0.9675,0.3466,0.4188,0.5431,1000
3,E3,"[126, 15, 30, 15, 1]",0.008,269.573777,0.9642,0.2646,0.4614,0.6113,1000
4,E4,"[126, 21, 30, 15, 1]",0.01,293.239319,0.9749,0.4299,0.3238,0.4739,1000
5,E5,"[126, 21, 30, 15, 1]",0.009,298.775535,0.9741,0.4105,0.3333,0.49,1000
6,E6,"[126, 21, 30, 15, 1]",0.0085,284.57092,0.9713,0.3957,0.3692,0.5023,1000
7,E7,"[126, 21, 30, 15, 1]",0.008,284.897314,0.9735,0.3946,0.341,0.5032,1000
8,E8,"[126, 50, 10, 1]",0.01,276.792367,0.9721,0.3523,0.3594,0.5384,1000
9,E9,"[126, 50, 10, 1]",0.009,272.619617,0.971,0.3202,0.3731,0.5651,1000
10,E10,"[126, 50, 10, 1]",0.0085,285.077977,0.9704,0.3017,0.3813,0.5804,1000
11,E11,"[126, 50, 10, 1]",0.008,292.362447,0.9697,0.2811,0.3899,0.5976,1000
