,Layers,Learning rate,Accuracy,Training time,Iterations
0,"[126, 15, 30, 15, 1]",0.03,20.1481,2.248706,10
1,"[126, 15, 30, 15, 1]",0.02,13.483,2.294681,10
2,"[126, 15, 30, 15, 1]",0.01,76.2327,2.276691,10
3,"[126, 15, 30, 15, 1]",0.009,71.1221,2.29468,10
4,"[126, 15, 30, 15, 1]",0.0085,82.6718,2.270695,10
5,"[126, 15, 30, 15, 1]",0.008,85.2504,2.251706,10
6,"[126, 100, 50, 10, 1]",0.03,19.4578,4.339488,10
7,"[126, 100, 50, 10, 1]",0.02,14.0376,4.582366,10
8,"[126, 100, 50, 10, 1]",0.01,78.4984,4.551384,10
9,"[126, 100, 50, 10, 1]",0.009,81.9033,4.278327,10
10,"[126, 100, 50, 10, 1]",0.0085,90.0319,4.2909,10
11,"[126, 100, 50, 10, 1]",0.008,86.935,4.566376,10
12,"[126, 50, 10, 1]",0.03,16.1364,2.384631,10
13,"[126, 50, 10, 1]",0.02,84.3613,2.395622,10
14,"[126, 50, 10, 1]",0.01,86.0794,2.484572,10
15,"[126, 50, 10, 1]",0.009,85.1603,2.440597,10
16,"[126, 50, 10, 1]",0.0085,76.0716,2.417593,10
17,"[126, 50, 10, 1]",0.008,63.391,2.412632,10
