,f1_ATT,f2_TRT,Routes
0,12.07672469374597,93,0-1-2-5-14-6*8-14-6*14-6-9-13-12*12-10-9-7-5-3-4*5-2-1*11-3-1*
1,11.377820760799484,103,0-1-2-5-14-6*8-14-6*14-6-9-13-12*12-10-9-7-5-3-4*5-2-1*10-11-3-1*
2,11.748549323017409,98,0-1-2-5-14-6*8-14-6*14-6-9-13-12*10-9-7-5-3-4*5-2-1*10-11-3-1*
3,11.277240490006447,111,0-1-2-5-14-6-9*8-14-6*6-9-13-12*11-10-9-7-5-3-4-1-2*5-2-1*11-3-1*
6,11.225660863958737,119,0-1-2-5-14-6-9-13-12*8-14-6*6-9-13*11-10-9-7-5-3-4-1-2*5-2-1*11-3-1*
7,11.109606705351386,121,0-1-2-5-14-6-9-13-12*8-14-6*6-9-13*11-10-9-7-5-3-4-1-2*7-5-2-1*11-3-1*
9,11.06447453255964,131,0-1-2-5-14-6-9-13-12*8-14-6*14-6-9-13*11-10-9-7-5-3-4-1-2*9-7-5-2-1*11-3-1*
12,11.059316569954868,141,0-1-2-5-14-6-9-13-12*8-14-6*14-6-9-13*11-10-9-7-5-3-4-1-2*9-7-5-2-1*10-11-3-1*
13,11.052869116698904,144,0-1-2-5-14-6-9-13-12*8-14-6*14-6-9-13*11-10-9-7-5-3-4-1-2*9-7-5-2-1-3*10-11-3-1*
14,10.757575757575758,149,0-1-2-5-14-6-9-13-12-10*8-14-6*14-6-9-13*11-10-9-7-5-3-4-1-2*9-7-5-2-1-3*10-11-3-1*
15,10.707285622179239,154,0-1-2-5-14-6-9-13-12-10*8-14-6*14-6-9-13*11-10-9-7-5-3-4-1-2*9-7-5-2-1-3*12-10-11-3-1*
17,10.697614442295293,171,0-1-2-5-14-6-9-13-12-10*8-14-6*14-6-9-13*11-10-9-7-5-3-4-1-2*6-9-7-5-2-1-3-11*12-10-11-3-1*
19,10.635074145712444,181,0-1-2-5-14-6-9-13-12-10*8-14-6*14-6-9-13-12*11-10-9-7-5-3-4-1-2*6-9-7-5-2-1-3-11*12-10-11-3-1-0*
20,10.530625402965828,189,0-1-2-5-14-6-9-13-12-10*8-14-6*8-14-6-9-13-12*11-10-9-7-5-3-4-1-2*6-9-7-5-2-1-3-11*12-10-11-3-1-0*
